iter	Passed	Remaining
0	0	66
1	1	57
2	1	54
3	2	51
4	2	50
5	3	49
6	3	52
7	4	51
8	4	50
9	5	49
10	5	48
11	6	47
12	6	46
13	7	46
14	7	45
15	8	44
16	9	44
17	9	43
18	10	43
19	10	42
20	11	42
21	11	41
22	12	41
23	12	40
24	13	40
25	13	39
26	14	39
27	15	38
28	15	38
29	16	37
30	16	37
31	17	36
32	17	36
33	18	35
34	18	35
35	19	34
36	20	34
37	20	33
38	21	33
39	21	32
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	29
46	25	28
47	25	28
48	26	27
49	27	27
50	27	26
51	28	26
52	29	25
53	29	25
54	30	24
55	30	24
56	31	23
57	32	23
58	33	22
59	33	22
60	34	22
61	35	21
62	35	20
63	36	20
64	37	19
65	37	19
66	38	19
67	39	18
68	40	18
69	40	17
70	41	16
71	42	16
72	42	15
73	43	15
74	44	14
75	44	14
76	45	13
77	46	13
78	46	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	50	8
85	50	8
86	51	7
87	52	7
88	52	6
89	53	5
90	54	5
91	54	4
92	55	4
93	56	3
94	56	2
95	57	2
96	58	1
97	58	1
98	59	0
99	60	0
