iter	Passed	Remaining
0	1	1233
1	2	1177
2	3	1143
3	4	1119
4	5	1095
5	6	1067
6	7	1061
7	8	1055
8	9	1057
9	10	1046
10	11	1034
11	12	1026
12	13	1027
13	14	1028
14	15	1024
15	16	1026
16	17	1020
17	18	1017
18	19	1027
19	20	1028
20	21	1023
21	22	1019
22	23	1016
23	24	1012
24	26	1016
25	27	1011
26	28	1011
27	29	1012
28	30	1014
29	31	1012
30	32	1013
31	33	1010
32	34	1008
33	35	1006
34	36	1003
35	37	1003
36	38	1008
37	39	1010
38	40	1008
39	41	1004
40	42	1000
41	43	1000
42	44	999
43	45	996
44	46	993
45	47	991
46	48	989
47	49	988
48	50	987
49	51	984
50	52	983
51	53	982
52	54	982
53	55	980
54	56	978
55	58	982
56	59	981
57	60	982
58	61	979
59	62	975
60	63	974
61	64	972
62	65	970
63	66	968
64	67	965
65	68	964
66	69	962
67	70	960
68	71	958
69	72	956
70	72	954
71	73	951
72	74	948
73	75	945
74	76	942
75	77	940
76	78	939
77	79	937
78	80	935
79	81	933
80	82	931
81	83	930
82	83	924
83	84	921
84	85	919
85	86	917
86	87	915
87	88	915
88	89	913
89	90	912
90	91	909
91	91	907
92	92	906
93	93	905
94	94	902
95	95	901
96	96	898
97	97	896
98	98	895
99	99	895
100	100	895
101	101	894
102	102	893
103	103	891
104	104	890
105	105	888
106	106	887
107	107	886
108	108	886
109	109	884
110	110	882
111	111	881
112	112	879
113	112	878
114	113	876
115	114	875
116	115	872
117	116	870
118	117	869
119	118	869
120	119	867
121	120	865
122	121	864
123	122	862
124	123	861
125	123	859
126	124	857
127	125	855
128	126	855
129	127	854
130	128	854
131	129	854
132	130	853
133	131	852
134	132	852
135	133	850
136	134	849
137	135	848
138	136	846
139	137	846
140	138	845
141	139	842
142	140	842
143	141	841
144	142	840
145	143	840
146	144	839
147	145	838
148	146	837
149	147	836
150	148	836
151	149	835
152	150	834
153	151	833
154	152	832
155	153	831
156	154	830
157	155	829
158	156	827
159	157	827
160	158	825
161	159	824
162	160	824
163	161	823
164	162	821
165	163	820
166	164	819
167	165	818
168	166	817
169	167	816
170	169	821
171	170	820
172	171	819
173	172	818
174	173	816
175	174	815
176	175	813
177	175	812
178	176	811
179	177	810
180	178	809
181	179	808
182	180	806
183	181	805
184	182	804
185	183	802
186	184	801
187	185	800
188	186	799
189	187	797
190	187	796
191	188	795
192	190	794
193	190	793
194	191	792
195	192	791
196	193	789
197	194	789
198	195	787
199	196	786
200	197	785
201	198	784
202	199	783
203	200	782
204	201	781
205	202	779
206	203	778
207	204	777
208	204	775
209	205	774
210	206	773
211	207	772
212	208	771
213	209	770
214	210	769
215	211	768
216	212	767
217	213	765
218	214	764
219	215	762
220	216	761
221	216	760
222	217	759
223	218	757
224	219	756
225	220	756
226	221	755
227	222	754
228	223	753
229	224	752
230	225	750
231	226	749
232	227	748
233	228	747
234	229	746
235	230	745
236	231	744
237	232	742
238	232	741
239	233	740
240	234	739
241	235	737
242	236	736
243	237	735
244	238	733
245	239	733
246	240	732
247	241	731
248	242	730
249	242	728
250	243	727
251	244	726
252	245	725
253	246	723
254	247	722
255	248	721
256	249	720
257	250	719
258	251	718
259	252	717
260	253	716
261	254	715
262	254	714
263	255	712
264	256	711
265	257	710
266	258	709
267	259	708
268	260	707
269	261	706
270	262	705
271	262	703
272	263	702
273	264	701
274	265	700
275	266	698
276	267	697
277	267	695
278	268	694
279	269	693
280	270	692
281	271	691
282	272	690
283	273	689
284	274	688
285	275	686
286	276	685
287	276	684
288	277	683
289	278	682
290	279	681
291	280	680
292	281	679
293	282	677
294	283	676
295	284	675
296	285	674
297	285	673
298	286	672
299	287	670
300	288	669
301	289	668
302	290	667
303	290	666
304	291	664
305	292	663
306	293	662
307	294	660
308	294	659
309	295	658
